zip_code,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,incident_address,borough,community_board,police_precinct,city_council_district,bbl,created_date,status,resolution_action,closed_date,x_coordinate,y_coordinate,latitude,longitude,census_tract,bin,nta,location
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,201 11 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1006700001,2018-02-22T00:00:00,Open,Graffiti Reported,,982457,212395,40.749652,-74.006471,  99  ,1012266,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.749652', '-74.006471', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,225 WEST   35 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,03,1007850025,2018-02-19T00:00:00,Open,Notice of Intent to Clean and Forever graffiti free form sent,,986732,213269,40.752051,-73.991042, 109  ,1014427,Midtown-Midtown South,"[None, '40.752051', '-73.991042', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,441 WEST   26 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007240010,2018-01-30T00:00:00,Open,Public Property (Non-City),,983747,212229,40.749196,-74.001815,  97  ,1012827,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.749196', '-74.001815', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,5 WEST   32 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008340049,2018-01-18T00:00:00,Open,Mail returned / wrong address,,988137,211562,40.747365,-73.985972,  76  ,1083631,Midtown-Midtown South,"[None, '40.747365', '-73.985972', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,23 WEST   35 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008370028,2018-03-05T00:00:00,Open,Notice of Intent to Clean and Forever graffiti free form sent,,988376,212356,40.749544,-73.985109,  84  ,1015894,Midtown-Midtown South,"[None, '40.749544', '-73.985109', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,40 WEST   31 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008320066,2018-01-22T00:00:00,Open,Site downloaded for cleaning,,987649,211532,40.747283,-73.987733,  76  ,1078654,Midtown-Midtown South,"[None, '40.747283', '-73.987733', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,25 WEST   35 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008370027,2018-02-19T00:00:00,Open,Notice of Intent to Clean and Forever graffiti free form sent,,988361,212364,40.749566,-73.985163,  84  ,1015893,Midtown-Midtown South,"[None, '40.749566', '-73.985163', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,131 WEST   35 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,03,1008110016,2018-03-05T00:00:00,Open,Notice of Intent to Clean and Forever graffiti free form sent,,987420,212886,40.750999,-73.988559, 109  ,1015225,Midtown-Midtown South,"[None, '40.750999', '-73.988559', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,237 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007220041,2018-01-17T00:00:00,Open,Site downloaded for cleaning,,984070,211588,40.747437,-74.000650,  93  ,1012802,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.747437', '-74.00065', None, False]"
10001,44,22,0.5,22,0.5,0,0,44,100,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,100,2,0.05,42,0.95,0,0.0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,369 WEST   34 STREET,MANHATTAN,04 MANHATTAN,Precinct 14,03,1007580001,2018-01-18T00:00:00,Open,Site downloaded for cleaning,,985562,213600,40.752959,-73.995265, 111  ,1013555,Hudson Yards-Chelsea-Flatiron-Union Square,"[None, '40.752959', '-73.995265', None, False]"
